STATE,StateTaxRate,Rank,Avg.LocalTaxRate(a),CombinedRate,CombinedRank,Max.LocalTaxRate
AL,4.00%,38,4.97%,8.97%,4,7.00%
AK,0.00%,46,1.78%,1.78%,46,7.50%
AZ,5.60%,28,2.65%,8.25%,11,5.30%
AR,6.50%,9,2.80%,9.30%,2,5.13%
CA,7.50%,1,0.98%,8.48%,10,2.50%
CO,2.90%,45,4.62%,7.52%,15,8.00%
CT,6.35%,12,none,6.35%,31
DE,0.00%,46,none,none,47
FL,6.00%,16,0.66%,6.66%,30,1.50%
GA,4.00%,38,3.01%,7.01%,21,4.00%
HI,4.00%,38,0.35%,4.35%,45,0.50%
ID,6.00%,16,0.03%,6.03%,36,3.00%
IL,6.25%,13,2.39%,8.64%,7,4.75%
IN,7.00%,2,none,7.00%,22
IA,6.00%,16,0.79%,6.79%,28,1.00%
KS,6.50%,9,2.10%,8.60%,8,4.00%
KY,6.00%,16,none,6.00%,37
LA,4.00%,38,5.00%,9.00%,3,7.00%
ME,5.50%,29,none,5.50%,42
MD,6.00%,16,none,6.00%,37
MA,6.25%,13,none,6.25%,33
MI,6.00%,16,none,6.00%,37
MN,6.875%,7,0.39%,7.27%,17,1.50%
MS,7.00%,2,0.07%,7.07%,20,1.00%
MO,4.225%,37,3.64%,7.86%,14,5.00%
MT,0.00%,46,none,none,47
NE,5.50%,29,1.37%,6.87%,26,2.00%
NV,6.85%,8,1.13%,7.98%,13,1.30%
NH,5.00%,46,none,none,47
NJ,7.00%,2,-0.03%,6.97%,24,3.50%
NM,5.125%,32,2.38%,7.51%,16,3.56%
NY,4.00%,38,4.49%,8.49%,9,4.88%
NC,4.75%,35,2.15%,6.90%,25,2.75%
ND,5.00%,33,1.82%,6.82%,27,3.50%
OH,5.75%,27,1.39%,7.14%,19,2.25%
OK,4.50%,36,4.32%,8.82%,6,6.50%
OR,9.90%,46,none,none,47
PA,6.00%,16,0.34%,6.34%,32,2.00%
RI,7.00%,2,none,7.00%,22
SC,6.00%,16,1.22%,7.22%,18,2.50%
SD,4.00%,38,1.84%,5.84%,40,2.00%
TN,7.00%,2,2.46%,9.46%,1,5.00%
TX,6.25%,13,1.92%,8.17%,12,2.00%
UT,5.95%,26,0.74%,6.69%,29,2.10%
VT,6.00%,16,0.17%,6.17%,35,1.00%
VA,5.30%,31,0.33%,5.63%,41,0.70%
WA,6.50%,9,2.39%,8.89%,5,3.10%
WV,6.00%,16,0.20%,6.20%,34,1.00%
WI,5.00%,33,0.41%,5.41%,44,1.75%
WY,4.00%,38,1.42%,5.42%,43,2.00%
DC,5.75%,-27,none,5.75%,-41